# DCl spectrum
# xmin= 1900 cm^-1
# xmax= 2250 cm^-1

Wavenumber, Absorbance
2038.25, 0.0069
2038.38, 0.007
2038.5, 0.0072
2038.62, 0.0071
2038.75, 0.0068
2038.88, 0.007
2039, 0.008
2039.12, 0.0087
2039.25, 0.0084
2039.38, 0.0077
2039.5, 0.0074
2039.62, 0.0073
2039.75, 0.0071
2039.88, 0.007
2040, 0.0068
2040.12, 0.0063
2040.25, 0.006
2040.38, 0.0062
2040.5, 0.0068
2040.62, 0.0068
2040.75, 0.0063
2040.88, 0.0064
2041, 0.0075
2041.12, 0.0083
2041.25, 0.0083
2041.38, 0.0082
2041.5, 0.0086
2041.62, 0.0088
2041.75, 0.0084
2041.88, 0.0078
2042, 0.0075
2042.12, 0.0073
2042.25, 0.007
2042.38, 0.0071
2042.5, 0.0076
2042.62, 0.0075
2042.75, 0.0068
2042.88, 0.0067
2043, 0.0077
2043.12, 0.0092
2043.25, 0.0116
2043.38, 0.019
2043.5, 0.0345
2043.62, 0.0542
2043.75, 0.0659
2043.88, 0.0606
2044, 0.0423
2044.12, 0.0238
2044.25, 0.0135
2044.38, 0.0109
2044.5, 0.0107
2044.62, 0.0098
2044.75, 0.0087
2044.88, 0.0085
2045, 0.0085
2045.12, 0.0084
2045.25, 0.0087
2045.38, 0.0097
2045.5, 0.0101
2045.62, 0.0097
2045.75, 0.0104
2045.88, 0.0132
2046, 0.017
2046.12, 0.0242
2046.25, 0.0449
2046.38, 0.0876
2046.5, 0.1421
2046.62, 0.1723
2046.75, 0.1503
2046.88, 0.0969
2047, 0.0506
2047.12, 0.026
2047.25, 0.0168
2047.38, 0.013
2047.5, 0.0104
2047.62, 0.0094
2047.75, 0.0093
2047.88, 0.0085
2048, 0.0076
2048.12, 0.0074
2048.25, 0.0076
2048.38, 0.0074
2048.5, 0.0074
2048.62, 0.0079
2048.75, 0.008
2048.88, 0.0073
2049, 0.0068
2049.12, 0.0075
2049.25, 0.0085
2049.38, 0.0083
2049.5, 0.0073
2049.62, 0.0067
2049.75, 0.007
2049.88, 0.0074
2050, 0.0076
2050.12, 0.0077
2050.25, 0.0076
2050.38, 0.0073
2050.5, 0.0073
2050.62, 0.0079
2050.75, 0.0082
2050.88, 0.0075
2051, 0.0064
2051.12, 0.0061
2051.25, 0.0066
2051.38, 0.0072
2051.5, 0.0072
2051.62, 0.0069
2051.75, 0.0071
2051.88, 0.0076
2052, 0.0081
2052.12, 0.0084
2052.25, 0.0083
2052.38, 0.008
2052.5, 0.0079
2052.62, 0.0081
2052.75, 0.0083
2052.88, 0.0081
2053, 0.0074
2053.12, 0.007
2053.25, 0.0074
2053.38, 0.0081
2053.5, 0.0082
2053.62, 0.0074
2053.75, 0.0067
