# HCl spectrum
# xmin= 2650 cm^-1
# xmax= 3100 cm^-1

Wavenumber, Absorbance
2742.38, 0.024
2742.5, 0.0237
2742.62, 0.0237
2742.75, 0.0243
2742.88, 0.0249
2743, 0.0247
2743.12, 0.0237
2743.25, 0.0228
2743.38, 0.0228
2743.5, 0.0235
2743.62, 0.0242
2743.75, 0.0243
2743.88, 0.0239
2744, 0.0235
2744.12, 0.0237
2744.25, 0.0243
2744.38, 0.0245
2744.5, 0.0238
2744.62, 0.0228
2744.75, 0.0225
2744.88, 0.023
2745, 0.0235
2745.12, 0.0232
2745.25, 0.0227
2745.38, 0.023
2745.5, 0.0237
2745.62, 0.0241
2745.75, 0.0239
2745.88, 0.0233
2746, 0.0229
2746.12, 0.0231
2746.25, 0.0239
2746.38, 0.0246
2746.5, 0.0246
2746.62, 0.0236
2746.75, 0.0228
2746.88, 0.0231
2747, 0.0238
2747.12, 0.0239
2747.25, 0.0234
2747.38, 0.0229
2747.5, 0.023
2747.62, 0.0232
2747.75, 0.0235
2747.88, 0.0237
2748, 0.0235
2748.12, 0.023
2748.25, 0.0229
2748.38, 0.0232
2748.5, 0.0233
2748.62, 0.0225
2748.75, 0.0218
2748.88, 0.0224
2749, 0.0239
2749.12, 0.0246
2749.25, 0.0238
2749.38, 0.0227
2749.5, 0.0227
2749.62, 0.024
2749.75, 0.027
2749.88, 0.0326
2750, 0.0397
2750.12, 0.0444
2750.25, 0.0434
2750.38, 0.0375
2750.5, 0.0305
2750.62, 0.026
2750.75, 0.0242
2750.88, 0.0237
2751, 0.0235
2751.12, 0.0234
2751.25, 0.0237
2751.38, 0.0242
2751.5, 0.0255
2751.62, 0.0308
2751.75, 0.0441
2751.88, 0.0641
2752, 0.0807
2752.12, 0.0818
2752.25, 0.0666
2752.38, 0.0466
2752.5, 0.0328
2752.62, 0.0268
2752.75, 0.0246
2752.88, 0.0235
2753, 0.0233
2753.12, 0.024
2753.25, 0.0243
2753.38, 0.0234
2753.5, 0.0226
2753.62, 0.0226
2753.75, 0.0231
2753.88, 0.0236
2754, 0.0238
2754.12, 0.0237
2754.25, 0.0234
2754.38, 0.0233
2754.5, 0.0238
2754.62, 0.0243
2754.75, 0.024
2754.88, 0.0235
2755, 0.0237
2755.12, 0.0248
2755.25, 0.0253
2755.38, 0.0247
2755.5, 0.0236
2755.62, 0.0231
2755.75, 0.023
2755.88, 0.0231
2756, 0.0233
2756.12, 0.0236
2756.25, 0.0234
2756.38, 0.023
2756.5, 0.023
2756.62, 0.0234
2756.75, 0.0235
2756.88, 0.023
2757, 0.0227
2757.12, 0.0233
2757.25, 0.0239
2757.38, 0.0236
2757.5, 0.0227
2757.62, 0.0221
2757.75, 0.022
2757.88, 0.0222
2758, 0.0227
2758.12, 0.0232
2758.25, 0.0236
2758.38, 0.0238
2758.5, 0.0242
2758.62, 0.0248
2758.75, 0.0251
2758.88, 0.0245
2759, 0.0236
2759.12, 0.0232
2759.25, 0.0233
2759.38, 0.0233
2759.5, 0.023
2759.62, 0.0225
2759.75, 0.0224
2759.88, 0.0226
2760, 0.0229
2760.12, 0.0231
2760.25, 0.0227
2760.38, 0.0222
2760.5, 0.0223
2760.62, 0.0233
2760.75, 0.0243
2760.88, 0.0244
2761, 0.0237
2761.12, 0.0234
2761.25, 0.0239
2761.38, 0.0245
2761.5, 0.0245
2761.62, 0.0237
2761.75, 0.0229
2761.88, 0.0227
2762, 0.023
2762.12, 0.0232
2762.25, 0.0226
2762.38, 0.0216
2762.5, 0.021
2762.62, 0.0215
2762.75, 0.0224
2762.88, 0.0228
2763, 0.0226
2763.12, 0.0222
2763.25, 0.0224
2763.38, 0.0231
2763.5, 0.0237
2763.62, 0.0236
2763.75, 0.0228
2763.88, 0.0222
2764, 0.0226
2764.12, 0.0236
2764.25, 0.0239
2764.38, 0.0234
2764.5, 0.023
2764.62, 0.0235
2764.75, 0.0243
2764.88, 0.0245
2765, 0.0241
2765.12, 0.0236
2765.25, 0.0234
2765.38, 0.0234
2765.5, 0.0235
2765.62, 0.0237
2765.75, 0.0238
2765.88, 0.0237
2766, 0.0239
2766.12, 0.0244
2766.25, 0.0246
2766.38, 0.0239
2766.5, 0.0228
2766.62, 0.0221
2766.75, 0.0221
2766.88, 0.0225
2767, 0.0229
2767.12, 0.023
2767.25, 0.0234
2767.38, 0.024
2767.5, 0.0246
2767.62, 0.0246
2767.75, 0.0239
2767.88, 0.023
2768, 0.023
2768.12, 0.024
2768.25, 0.0248
2768.38, 0.0245
2768.5, 0.0232
2768.62, 0.0223
2768.75, 0.0224
2768.88, 0.0232
2769, 0.0239
2769.12, 0.0241
2769.25, 0.0239
2769.38, 0.024
2769.5, 0.0245
2769.62, 0.0249
2769.75, 0.0244
2769.88, 0.0234
2770, 0.0231
2770.12, 0.0236
2770.25, 0.0243
2770.38, 0.0242
2770.5, 0.0238
2770.62, 0.0236
2770.75, 0.0238
2770.88, 0.0238
2771, 0.0236
2771.12, 0.0232
2771.25, 0.0225
2771.38, 0.022
2771.5, 0.0223
2771.62, 0.0234
2771.75, 0.0241
2771.88, 0.0238
2772, 0.0233
2772.12, 0.0236
2772.25, 0.0243
2772.38, 0.0245
2772.5, 0.0239
2772.62, 0.0232
2772.75, 0.0225
2772.88, 0.0221
2773, 0.0221
2773.12, 0.0224
2773.25, 0.0226
2773.38, 0.0242
2773.5, 0.0299
2773.62, 0.0404
2773.75, 0.0507
2773.88, 0.0539
2774, 0.0482
2774.12, 0.0385
2774.25, 0.0309
2774.38, 0.0271
2774.5, 0.0257
2774.62, 0.0248
2774.75, 0.0238
2774.88, 0.0234
2775, 0.024
2775.12, 0.0256
2775.25, 0.0291
2775.38, 0.0387
2775.5, 0.059
2775.62, 0.0874
2775.75, 0.1086
2775.88, 0.1057
2776, 0.0806
2776.12, 0.0521
2776.25, 0.0346
2776.38, 0.0284
2776.5, 0.0267
2776.62, 0.0252
2776.75, 0.024
2776.88, 0.0237
2777, 0.0237
2777.12, 0.0238
2777.25, 0.024
2777.38, 0.0239
2777.5, 0.023
2777.62, 0.0225
2777.75, 0.0235
2777.88, 0.0251
2778, 0.0254
2778.12, 0.0243
2778.25, 0.0237
2778.38, 0.0241
2778.5, 0.0245
2778.62, 0.0239
2778.75, 0.0232
2778.88, 0.0229
2779, 0.0229
2779.12, 0.0229
2779.25, 0.0229
2779.38, 0.0228
2779.5, 0.0225
2779.62, 0.0223
2779.75, 0.0228
2779.88, 0.0236
2780, 0.024
2780.12, 0.0235
2780.25, 0.0229
2780.38, 0.023
2780.5, 0.0232
2780.62, 0.0229
2780.75, 0.0222
2780.88, 0.0218
2781, 0.0221
2781.12, 0.0231
2781.25, 0.0244
2781.38, 0.0246
2781.5, 0.0234
2781.62, 0.0221
2781.75, 0.0221
2781.88, 0.0233
2782, 0.0239
2782.12, 0.0234
2782.25, 0.0227
2782.38, 0.0229
2782.5, 0.0237
2782.62, 0.0238
2782.75, 0.0233
2782.88, 0.0228
2783, 0.0228
2783.12, 0.0232
2783.25, 0.0234
2783.38, 0.0232
2783.5, 0.023
2783.62, 0.0232
2783.75, 0.024
2783.88, 0.0248
2784, 0.0252
2784.12, 0.0251
2784.25, 0.0247
2784.38, 0.0242
2784.5, 0.0237
2784.62, 0.0234
2784.75, 0.0235
2784.88, 0.0233
2785, 0.0226
2785.12, 0.0219
2785.25, 0.0221
2785.38, 0.0227
2785.5, 0.0229
2785.62, 0.0226
